92035	A1	1802193	4
92036	V1	1802231	4
92038	C1	1802206	1
92039	S1	1802235	4
92040	V1	1802223	4
92041	Q1	1802261	3
92042	V1	1802252	4
92044	S1	1802208	4
92045	S1	1802125	3
92046	C1	1802112	4
92047	V1	1802227	2
92051	S1	1802210	4
92052	V1	1802252	4
92053	S1	1802210	1
92054	S1	1802229	1
92055	Q1	1802154	4
92056	Q1	0	4
92057	C1	1802019	4
92058	S1	1802227	4
92059	C1	1802201	4
92060	C1	1802228	4
92061	A1	1802226	4
92063	V1	1802265	4
92064	V1	1802097	3
92065	C1	1802162	4
92066	S1	1802208	4
92067	C1	1802119	1
92068	V1	1802097	4
92069	V1	1802229	1
92070	V1	1802219	4
92071	C1	1802117	4
92072	Q1	1802125	4
92073	S1	1802133	4
92074	V1	1802224	2
92075	A1	1802178	4
92076	C1	1802237	4
92077	C1	1802201	4
92078	V1	1802230	1
92079	S1	1802229	4
92083	S1	1801901	4
92084	A1	0	4
92085	V1	1802227	4
92086	C1	1801979	4
92087	S1	1802191	4
92088	S1	1802010	4
92090	S1	1802232	4
92092	S1	1802246	4
92093	A1	0	4
92094	A1	1801844	4
92095	S1	1802210	1
92096	V1	1801909	4
92097	C1	1802230	3
92098	Q1	1802155	4
92099	A1	1801846	4
92100	S1	1802259	4
92102	S1	1802152	3
92103	Q1	1802220	4
92104	S1	1802210	4
92105	V1	1802233	4
92106	C1	1802019	4
92107	V1	0	4
92108	V1	1802223	4
92109	C1	1802204	3
92110	V1	1802263	4
92111	A1	1802142	4
92112	S1	1802230	1
92113	S1	1802210	4
92114	C1	1802127	4
92115	S1	1802249	4
92116	C1	1802125	4
92117	Q1	1802249	4
92118	A1	0	4
92120	C1	1802118	4
92121	V1	1802230	1
92122	V1	1801917	4
92123	C1	1802128	4
92124	V1	1802244	4
92125	Q1	1802127	4
92126	S1	1802228	4
92127	A1	1801852	4
92128	A1	1801849	4
92129	C1	1802206	1
92130	S1	0	4
92131	Q1	1802154	1
92132	S1	1802097	4
92133	S1	1802269	4
92134	S1	1802125	1
92135	C1	1802246	1
92221	Q1	1802177	4
92222	S1	0	4
92223	A1	1802225	4
92224	S1	1802097	4
92225	S1	1801901	4
92226	V1	1802136	4
92227	V1	1802097	4
92228	C1	1802239	2
90314	C1	1802162	1
90330	Q1	0	5
90356	S1	1802210	1
91977	Q1	1802139	5
91978	A1	1802183	5
91979	S1	1802229	4
91980	S1	1802249	5
91985	S1	1802251	4
91986	A1	0	5
91987	C1	1802177	5
91988	C1	0	5
91989	C1	1802206	1
91990	Q1	1802125	5
91991	A1	1802142	5
91992	V1	0	5
91993	A1	1802258	5
91995	Q1	1802163	5
91996	Q1	1802125	5
91997	C1	1802185	5
91998	Q1	1802139	5
92000	S1	0	5
92001	C1	1801980	5
92002	C1	1802227	3
92003	Q1	1802127	5
92004	V1	1802233	5
92005	S1	1802249	5
92006	V1	0	5
92007	S1	1802200	3
92008	A1	0	5
92009	S1	1802228	5
92010	C1	1802159	5
92012	A1	0	5
92013	S1	1802230	1
92015	S1	0	5
92016	Q1	1802261	5
92017	C1	1802127	3
92018	S1	0	5
92019	A1	0	5
92020	A1	0	5
92021	A1	1802251	5
92022	C1	1802238	5
92023	A1	0	5
92024	V1	0	5
92025	V1	1801919	5
92027	A1	1802136	5
92029	C1	1802159	5
92030	A1	1802136	4
92031	V1	1802223	5
92032	C1	1802153	5
92033	Q1	1802197	5
92034	C1	1802229	5
92035	A1	1802037	5
92036	V1	1802097	5
92038	C1	1802019	1
92039	S1	0	5
92040	V1	1802232	5
92041	Q1	1802220	5
92042	V1	1801909	4
92044	S1	0	5
92045	S1	1801902	3
92046	C1	0	5
92047	V1	1802264	2
92051	S1	1802209	5
92052	V1	0	5
92053	S1	1802149	1
92054	S1	1802180	5
92055	Q1	1802155	5
92056	Q1	1802164	5
92057	C1	1801980	5
92058	S1	1802251	5
92059	C1	1802128	5
92060	C1	1802117	5
92061	A1	1802156	5
92063	V1	1802097	5
92064	V1	1802229	5
92065	C1	1801980	5
92066	S1	1802236	5
92067	C1	1802122	1
92068	V1	1802233	5
92069	V1	1802177	5
92070	V1	1802221	5
92071	C1	1802162	5
92072	Q1	1802255	5
92073	S1	1802134	5
92074	V1	1802134	5
92075	A1	0	5
92076	C1	1802205	4
92077	C1	1802127	5
92078	V1	1802227	5
92079	S1	1802216	5
92083	S1	1801900	5
92084	A1	0	5
92085	V1	1802234	4
92086	C1	1802161	5
92087	S1	0	5
92088	S1	0	5
92090	S1	1802227	5
92092	S1	1802251	5
92093	A1	0	5
92094	A1	1802258	5
92095	S1	1802249	5
92096	V1	1802167	5
92097	C1	1801919	3
92098	Q1	1802260	5
92099	A1	1801850	5
92100	S1	1802127	5
92102	S1	1802128	3
92103	Q1	1802139	5
92104	S1	1802177	5
92105	V1	1802227	5
92106	C1	1802237	5
92107	V1	0	5
92108	V1	1802210	5
92109	C1	1802162	5
92110	V1	1802097	5
92111	A1	0	5
92112	S1	1801865	1
92113	S1	1802227	5
92114	C1	1802153	5
92115	S1	1802210	5
92116	C1	1802122	5
92117	Q1	1802154	5
92118	A1	0	5
92120	C1	1802215	4
92121	V1	1802222	5
92122	V1	1802218	5
92123	C1	1802127	5
92124	V1	1802184	5
92125	Q1	1802166	5
92126	S1	1802227	5
92127	A1	1801845	5
92128	A1	1802257	5
92129	C1	1801980	1
92130	S1	0	5
92131	Q1	1802260	5
92132	S1	1802230	5
92133	S1	1802224	5
92134	S1	1802251	5
92135	C1	1802206	1
92221	Q1	1802155	5
92222	S1	0	5
92223	A1	1802136	5
92224	S1	1802218	5
92225	S1	1801900	5
92226	V1	1802252	5
92227	V1	1801865	5
92228	C1	1802119	5
90314	C1	1802161	1
90330	Q1	0	6
90356	S1	1802097	1
91977	Q1	1802177	6
91978	A1	1801866	6
91979	S1	0	6
91980	S1	1802127	6
91985	S1	1802230	4
91986	A1	0	6
91987	C1	1802019	6
91988	C1	0	6
91989	C1	1802117	1
91990	Q1	0	6
91991	A1	0	6
91992	V1	0	6
91993	A1	1802257	6
91995	Q1	1802199	6
91996	Q1	0	6
91997	C1	1802213	6
91998	Q1	1802179	6
92000	S1	1802127	6
92001	C1	1802213	6
92002	C1	1802228	3
92003	Q1	1802125	6
92004	V1	1802184	5
92005	S1	1801917	6
92006	V1	0	6
92007	S1	0	6
92008	A1	0	6
92009	S1	1802246	6
92010	C1	1802125	6
92012	A1	0	6
92013	S1	1802251	1
92015	S1	0	6
92016	Q1	0	6
92017	C1	1802228	6
92018	S1	0	6
92019	A1	0	6
92020	A1	0	6
92021	A1	1802249	6
92022	C1	1802230	6
92023	A1	0	6
92024	V1	0	6
92025	V1	1802249	6
92027	A1	0	6
92029	C1	1802130	6
92030	A1	0	4
92031	V1	1802254	6
92032	C1	1802128	6
92033	Q1	1802176	5
92034	C1	1802117	6
92035	A1	1802036	6
92036	V1	1802184	6
92038	C1	1802127	6
92039	S1	0	6
92040	V1	1802216	6
92041	Q1	1802175	5
92042	V1	1802181	4
92044	S1	0	6
92045	S1	1802251	6
92046	C1	1802246	6
92047	V1	1802167	2
92051	S1	0	6
92052	V1	0	6
92053	S1	1802134	1
92054	S1	1802246	5
92055	Q1	1802197	6
92056	Q1	1802165	6
92057	C1	1802119	6
92058	S1	1802127	6
92059	C1	0	6
92060	C1	1802127	6
92061	A1	0	6
92063	V1	1802168	6
92064	V1	0	6
92065	C1	1802128	6
92066	S1	1802127	6
92067	C1	1802019	1
92068	V1	1802112	6
92069	V1	1802097	6
92070	V1	1802184	6
92071	C1	1802153	6
92072	Q1	1802261	6
92073	S1	1802230	6
92074	V1	1802221	5
92075	A1	0	6
92076	C1	1802130	4
92077	C1	1802118	6
92078	V1	1802228	6
92079	S1	1801864	6
92083	S1	1801902	6
92084	A1	0	6
92085	V1	1802097	6
92086	C1	1802162	6
92087	S1	1802217	6
92088	S1	0	6
92090	S1	1802228	6
92092	S1	1802227	6
92093	A1	0	6
92094	A1	1802257	6
92095	S1	1802230	6
92096	V1	1802181	6
92097	C1	1802239	6
92098	Q1	1802125	6
92099	A1	1801852	6
92100	S1	0	6
92102	S1	1802227	3
92103	Q1	0	6
92104	S1	1801900	6
92105	V1	1802128	6
92106	C1	1802125	6
92107	V1	0	6
92108	V1	1802184	6
92109	C1	1802161	6
92110	V1	1802219	6
92111	A1	0	6
92112	S1	1802208	1
92113	S1	1802252	6
92114	C1	0	6
92115	S1	1802251	6
92116	C1	1802206	6
92117	Q1	1802177	6
92118	A1	0	6
92120	C1	1802213	4
92121	V1	1802233	5
92122	V1	1802181	6
92123	C1	1802125	6
92124	V1	1802222	6
92125	Q1	1802197	6
92126	S1	1802251	6
92127	A1	1802257	6
92128	A1	1801845	6
92129	C1	0	6
92130	S1	0	6
92131	Q1	1802166	5
92132	S1	1802182	6
92133	S1	1802228	6
92134	S1	1802259	6
92135	C1	1802215	6
92221	Q1	0	6
92222	S1	0	6
92223	A1	0	6
92224	S1	1802127	6
92225	S1	1802230	6
92226	V1	1801865	5
92227	V1	1802222	6
92228	C1	1802122	6
90314	C1	1802160	1
90330	Q1	0	7
90356	S1	1802227	1
91977	Q1	1802196	6
91978	A1	0	7
91979	S1	0	7
91980	S1	1802246	7
91985	S1	1802134	7
91986	A1	0	7
91987	C1	1802134	7
91988	C1	0	7
91989	C1	0	7
91990	Q1	0	7
91991	A1	0	7
91992	V1	0	7
91993	A1	1801849	7
91995	Q1	1802198	7
91996	Q1	0	7
91997	C1	0	7
91998	Q1	0	7
92000	S1	0	7
92001	C1	1802196	6
92002	C1	1802205	7
92003	Q1	0	7
92004	V1	1802228	7
92005	S1	0	7
92006	V1	0	7
92007	S1	0	7
92008	A1	0	7
92009	S1	0	7
92010	C1	1802160	7
92012	A1	0	7
92013	S1	1802149	7
92015	S1	0	7
92016	Q1	0	7
92017	C1	1802117	6
92018	S1	0	7
92019	A1	0	7
92020	A1	0	7
92021	A1	0	7
92022	C1	1802229	7
92023	A1	0	7
92024	V1	0	7
92025	V1	1802251	7
92027	A1	0	7
92029	C1	1802125	7
92030	A1	0	7
92031	V1	0	7
92032	C1	1802190	7
